A_X [mg]	A_Y [mg]	A_Z [mg]	G_X [dps]	G_Y [dps]	G_Z [dps]	LABEL
-532.884	318.549	800.128	1.8026341	-4.855078	2.7530165	4
-545.9327	306.41083	774.3082	0.44873205	-3.6860642	1.734838	4
-539.5788	319.3844	775.6374	0.0086529115	-2.6807015	1.5750499	4
-552.30475	303.36084	742.6491	1.4779856	-3.0818992	1.9154232	4
-544.1206	297.28333	738.11786	1.5019715	-3.6394544	2.8210702	4
-557.20337	281.33627	723.5806	-0.4997303	-5.4880867	3.9366848	4
-547.45447	274.93637	738.5349	2.3158975	-5.4653134	3.1378725	4
-562.69366	296.0997	759.56445	6.734955	-7.156082	4.8146095	4
-552.19495	344.9298	747.185	7.1595592	-6.4741473	3.7235663	4
-563.2959	364.8566	791.2679	9.10141	-9.677244	2.5257466	4
-555.0256	379.36423	776.95886	7.227516	-9.536949	3.0896168	4
-554.9655	341.15985	779.2556	5.0379915	-11.843113	-0.21850547	4
-548.2502	333.4885	730.8583	8.183865	-12.648991	-0.34777653	4
-559.26276	330.9832	723.25854	5.9985447	-9.620371	0.37370065	4
-548.59155	320.0314	718.1005	9.176889	-12.1302185	-0.27692312	4
-535.9179	320.43335	747.31696	11.797866	-11.564894	1.2673107	4
-518.3166	309.258	770.5764	11.308896	-9.9953985	2.164869	4
-521.46924	304.4263	805.84686	10.602462	-12.225714	1.070345	4
-495.82727	330.14874	815.93677	12.24373	-10.72313	2.1739492	4
-494.3339	296.65402	761.5293	12.059247	-10.565549	-0.76862824	4
-493.5407	264.9545	785.31104	11.354185	-11.433862	-4.153159	4
-498.17596	312.1145	802.415	12.881648	-13.041269	-6.6839	4
-524.06635	391.3095	804.5128	15.214295	-10.767375	-7.884826	4
-516.9025	376.09274	816.36334	14.562122	-10.489116	-9.374937	4
-494.8066	356.4862	776.60925	14.617596	-12.724714	-11.366516	4
-517.71594	370.3217	812.8972	16.959023	-6.5953217	-13.061425	4
-525.2012	430.5608	776.29456	18.656239	-8.901374	-15.5417795	4
-539.6523	454.80942	778.51776	17.92487	-7.102395	-12.216056	4
-525.82465	411.3696	765.6539	16.148201	-5.502221	-13.497033	4
-483.39215	361.54144	740.4611	17.93119	-4.5967145	-13.555445	4
-460.6085	335.87985	801.46405	18.489412	-4.746931	-12.359384	4
-430.15598	370.7835	830.97675	22.741901	-2.7839637	-12.719625	4
-416.43692	381.1512	831.8542	22.454605	-0.70353985	-11.886439	4
-362.58054	322.7567	864.4959	23.872324	0.22430103	-13.57238	4
-319.11063	342.45282	900.79175	20.956095	0.67398185	-14.338307	4
-323.19162	390.3817	902.009	20.432081	3.0318582	-11.884309	4
-335.03012	429.03027	934.5595	17.165634	5.6655164	-11.427859	4
-345.15	465.19986	913.20526	11.255241	6.9859567	-9.459901	4
-376.13907	476.36032	911.9502	5.083964	7.1838965	-10.759424	4
-425.89987	463.09	884.6598	-4.1697907	5.686323	-10.734016	4
-447.08923	426.66345	870.4043	-10.013015	4.827409	-9.633443	4
-474.23154	388.7211	806.07874	-13.505479	3.6179645	-10.207531	4
-515.8862	359.79767	794.9511	-15.657081	-0.30539578	-8.798603	4
-528.7166	331.10544	764.86115	-17.17889	-1.4646204	-7.8873377	4
-541.6024	342.47574	779.99036	-14.021806	-0.6949286	-8.477527	4
-539.2776	324.66364	793.94336	-13.052215	-3.4695008	-8.490046	4
-570.22644	289.9393	770.91003	-12.45211	-0.90498525	-9.282266	4
-617.39197	221.25635	750.4857	-13.58552	0.16177498	-9.002439	4
-633.8478	176.6369	700.037	-13.391517	0.33670822	-9.352344	4
-667.1451	144.97467	692.2815	-8.918217	-0.19814993	-8.414054	4
-642.0735	97.21632	703.4945	-2.6511931	-0.31739593	-6.0062904	4
-613.3419	134.91624	733.2994	2.6294358	-1.3988627	-4.9307885	4
-612.9202	175.43094	744.4372	8.957571	3.2006106	-5.0330014	4
-596.99554	201.70593	789.93536	11.111219	2.9265351	-7.230414	4
-554.92993	228.50244	818.9893	9.6649685	4.373787	-7.3670807	4
-543.7605	229.92877	807.6267	9.925075	7.836162	-8.958654	4
-544.13995	250.06427	799.81586	8.104558	8.147464	-11.361256	4
-513.71	273.07556	812.00134	7.16278	8.945825	-13.294525	4
-481.7286	280.8558	770.655	6.251312	7.5785284	-13.743076	4
-496.3872	316.1607	776.996	5.4344397	9.222277	-15.416531	4
-497.30984	330.50668	730.2095	4.4983954	11.236491	-15.594487	4
-496.59387	389.4304	759.82825	4.998231	9.818996	-14.937672	4
-546.3037	381.13428	763.21704	9.502107	8.945803	-14.162815	4
-504.0744	346.31332	730.52386	7.4633775	7.1304593	-13.891371	4
-512.2266	291.00272	751.54626	9.317518	6.8423367	-12.947624	4
