A_X [mg]	A_Y [mg]	A_Z [mg]	G_X [dps]	G_Y [dps]	G_Z [dps]	LABEL
923.75854	12.187985	137.46721	-46.014038	-41.789677	91.1414	3
882.2195	33.90982	265.276	-46.588505	-26.896034	102.71346	3
828.3923	106.662224	302.23587	-49.102882	-17.352114	113.16048	3
846.05554	168.9291	211.25139	-38.952957	-11.23805	124.7198	3
951.5879	331.8278	39.452415	-26.425995	-7.19692	133.04309	3
1176.5413	574.81244	-264.79205	2.10006	0.11842344	144.60028	3
1460.857	1150.3038	-433.4467	50.117832	14.16677	152.0867	3
1751.5345	2384.3535	-471.7554	146.59906	29.140808	162.15996	3
1585.9153	4022.8953	-591.7437	288.23227	45.09469	210.11424	3
789.3639	6184.7925	-1121.5588	402.782	51.3223	264.9597	3
-431.6521	8274.824	-1597.3569	387.1424	88.45948	246.79619	3
-1661.9979	9052.961	-1535.2477	316.5095	164.49332	272.76984	3
-2300.5767	8116.7827	-1078.7985	160.19766	187.92377	353.16724	3
-2116.5093	5895.5684	-527.2943	-67.60899	179.1739	353.47278	3
-1479.6925	3998.6443	-456.4216	-212.8561	164.2465	348.24484	3
-869.39404	2694.609	-397.273	-266.43228	148.95528	363.3219	3
-729.7666	1934.5771	-441.67886	-242.15332	160.94872	381.0652	3
-741.3199	1403.2518	-659.06696	-205.61174	190.61	382.70288	3
-880.2081	1101.2236	-709.21545	-166.5215	214.20938	375.3154	3
-1009.08044	900.5365	-740.42206	-134.54625	237.88647	363.4485	3
-1101.2631	697.7138	-714.5066	-99.78099	256.09613	349.20398	3
-1141.3452	413.03668	-683.00867	-66.88553	272.84195	332.00824	3
-1198.0319	92.889565	-627.4233	-23.832685	289.48657	310.73572	3
-1184.6785	-180.43509	-523.97974	19.907013	296.13458	285.92972	3
-1143.6096	-230.08002	-471.73697	50.374413	304.14832	251.91263	3
-1140.923	-162.44759	-412.3189	71.911835	311.18088	221.77086	3
-1207.8647	-59.101475	-359.7723	81.85573	314.7232	193.38144	3
-1352.4463	-65.73665	-381.62714	77.24931	315.31073	168.82645	3
-1486.889	-245.0037	-417.55737	67.91672	311.56232	142.4586	3
-1621.0312	-458.84937	-482.99994	59.726837	304.52316	113.357445	3
-1673.4618	-704.1843	-554.8261	55.083584	286.921	83.28665	3
-1648.4733	-850.8205	-585.32916	54.313282	261.62363	55.912968	3
-1530.9288	-873.4145	-577.6634	55.006836	237.38095	30.582943	3
-1412.677	-774.11395	-585.97894	56.904667	210.9563	8.324256	3
-1335.3492	-713.5037	-552.91907	55.11574	185.78918	-20.714582	3
-1355.7015	-621.33466	-497.53552	51.9454	162.9292	-59.76936	3
-1376.1506	-594.8157	-432.18423	47.23767	141.72208	-104.064964	3
-1446.402	-502.34058	-331.90424	49.936153	113.70962	-156.06966	3
-1460.7437	-449.8389	-216.04117	51.413345	85.84691	-208.6007	3
-1524.0277	-382.1918	-175.01755	59.996517	58.03519	-257.3509	3
-1560.0876	-403.9855	-121.54921	69.26738	31.642159	-303.9366	3
-1661.412	-367.09622	-94.74069	83.27844	8.699879	-343.87558	3
-1724.1154	-326.19604	-113.104965	95.196434	-11.0771475	-376.60132	3
-1715.0599	-143.43303	-228.93005	117.28658	-39.907703	-418.42944	3
-1821.2507	366.15668	-302.14758	140.5623	-65.83843	-458.5388	3
-2128.7285	1113.1451	-554.39856	182.99088	-86.480774	-464.3361	3
-2509.3398	2097.3296	-679.47766	225.97105	-103.510925	-482.23154	3
-2983.0427	3134.5154	-630.02094	294.00174	-112.161865	-504.16632	3
-3244.2603	4431.298	-416.32382	395.56848	-123.30855	-468.64642	3
-3558.218	6226.8	-140.85992	461.22354	-128.91133	-405.05573	3
-3533.754	7754.014	-353.86697	532.8725	-156.8621	-326.78897	3
-2684.528	8283.413	-203.96498	477.46326	-211.83495	-215.37296	3
-1463.0485	6470.5757	137.52003	314.3262	-237.11258	-152.59848	3
-676.2948	4510.314	366.09445	142.60248	-225.2951	-117.95152	3
-236.46918	3255.3652	391.8125	22.80855	-211.89052	-75.56066	3
80.18211	2440.958	254.38477	-30.451687	-214.0109	-41.918476	3
242.3987	1939.3188	125.30188	-43.868114	-221.22842	-17.144276	3
361.44345	1449.8494	12.994961	-39.90216	-223.04027	-7.81268	3
406.29953	1182.5101	-60.6661	-44.15931	-223.02316	-8.824602	3
543.13434	861.5874	-123.428246	-40.521946	-221.73482	-18.274378	3
603.2302	738.2743	-124.619606	-37.71617	-218.99176	-28.24912	3
743.3793	429.24954	-113.77995	-24.468752	-222.47371	-45.126286	3
777.7202	340.57605	-102.71201	-17.223911	-222.6872	-58.841446	3
856.0559	60.981815	-76.67346	7.369438	-221.06035	-72.703606	3
828.35895	71.30409	-88.94937	31.506023	-224.39409	-83.03908	3
879.6249	-6.6032963	-110.782295	67.76415	-222.238	-89.11683	3
867.1134	172.07095	-53.25719	93.01612	-228.05644	-86.57012	3
924.14453	199.20703	-69.74023	109.84333	-227.99413	-83.378494	3
950.46564	320.65997	-21.605433	103.39284	-225.4279	-72.845955	3
1092.9865	215.0884	-53.602985	94.906456	-215.02945	-63.15917	3
1169.3309	187.85432	-86.3661	72.39371	-201.05629	-51.305576	3
1324.6716	23.936796	-151.1257	61.363594	-184.05412	-38.34589	3
1445.0652	2.280877	-196.84586	48.979816	-163.42969	-15.119218	3
1576.9626	-111.508575	-207.70042	47.374687	-138.78961	8.380209	3
1618.4911	-163.69171	-143.64124	46.56366	-111.55238	39.659477	3
1570.9794	-203.48119	-76.21498	54.53391	-81.452415	70.2963	3
1439.9504	-134.05182	-13.172859	57.87711	-51.54515	98.971375	3
1305.1289	-39.340137	27.848394	54.138996	-30.708035	120.98247	3
1188.8698	27.537052	45.39622	41.029858	-9.855213	134.05792	3
1108.6465	125.36757	52.667107	10.905927	11.321581	146.25298	3
1086.4291	57.388317	45.374382	-13.176695	31.202946	152.0011	3
975.38275	116.74107	29.902874	-47.62593	48.85424	159.1394	3
966.1293	-13.788757	-20.947803	-64.11921	64.88998	157.97334	3
984.4189	107.62507	-12.635284	-86.666504	75.42139	155.17447	3
1337.3323	-48.263325	-72.52546	-81.76974	89.38949	139.1451	3
1549.001	302.17804	83.90684	-94.98201	105.72603	112.00323	3
1797.0734	540.4605	253.15523	-69.62859	133.4346	71.86429	3
1100.7441	2441.298	730.6458	-44.23162	151.57092	17.66461	3
771.98157	4418.772	67.94271	198.17107	128.3907	-19.648746	3
-509.48825	7299.72	-1844.9316	467.17	86.94216	6.18126	3
-2884.2017	8952.726	-3732.6357	660.86206	200.88956	20.282862	3
-5451.8057	12448.971	-3156.065	433.3877	378.07288	130.89076	3
-5226.752	11460.073	-1269.1628	-91.23698	351.02905	271.59872	3
-2778.13	4899.0015	-797.95544	-359.99472	258.74338	228.647	3
-1687.495	2682.9148	-160.47328	-539.9047	207.71967	247.66493	3
-557.4915	1094.7834	-236.43237	-522.114	189.50407	379.21423	3
-291.22195	942.56226	-767.1057	-425.40274	226.70251	434.25165	3
-290.741	774.6742	-973.74335	-292.4853	244.87929	448.5606	3
-765.32324	1000.6701	-922.81604	-200.17397	266.26135	474.08698	3
-1297.7482	835.04114	-902.2948	-123.17074	308.61047	483.08286	3
-1791.0929	547.2333	-754.7131	-85.03506	341.04755	455.54788	3
-2127.3894	37.98449	-697.49554	-48.31503	352.71228	426.4368	3
-2265.73	-374.09668	-680.56323	-8.38089	339.7761	403.2772	3
-2153.6099	-635.8348	-604.3789	41.56522	314.4478	380.73514	3
-1872.558	-656.75244	-539.5291	86.53397	288.20883	355.51273	3
-1624.702	-446.09222	-546.7856	111.36524	273.6494	331.71368	3
-1506.9038	-376.49796	-676.5562	117.57323	270.6121	301.87	3
-1544.2072	-411.34485	-731.6293	96.80526	263.69385	255.85147	3
-1548.0044	-664.87274	-806.01697	72.47101	244.78511	208.09114	3
-1581.0785	-866.3345	-779.5498	39.183384	218.2085	160.55403	3
-1503.1779	-1225.678	-783.2547	39.058098	183.1648	116.67219	3
-1402.4948	-1317.3496	-731.26886	47.222908	147.41434	68.037476	3
-1299.4061	-1347.8779	-683.87537	69.02439	115.30513	20.95804	3
-1308.6426	-1022.99854	-492.33975	84.78706	84.37244	-32.35179	3
-1362.3732	-722.8872	-299.7853	108.32514	50.828033	-86.941826	3
-1539.6482	-373.9178	-130.91273	115.21742	20.915308	-147.62415	3
-1568.086	-263.6546	-128.906	117.94405	-14.9956255	-204.57588	3
-1538.5125	-151.73523	-7.0261245	99.06231	-46.043957	-254.41829	3
-1413.6589	-169.34755	29.413523	81.98486	-77.89217	-296.73947	3
-1217.8699	5.519545	-66.54611	58.540657	-111.64624	-340.1408	3
-1043.6238	260.6796	-157.56602	53.24304	-144.6582	-379.06665	3
-1003.84344	706.9866	-236.83426	60.43399	-168.72015	-403.52036	3
-1143.3164	1061.4515	-34.965385	89.36482	-178.76689	-434.60477	3
-1544.738	1816.5265	264.0811	108.88704	-174.44263	-478.65775	3
-1981.3171	2701.5693	420.35544	137.98692	-164.81543	-492.7761	3
-2271.2546	3420.804	418.138	216.93916	-159.45665	-487.5013	3
-2435.59	4081.8389	312.33844	288.6559	-166.2413	-477.67386	3
-2482.0579	5113.633	287.6951	339.33008	-185.87895	-425.19034	3
-2396.2068	6494.9707	260.49463	373.8399	-207.71556	-320.5647	3
-2072.4023	7171.0923	298.634	344.19388	-224.51137	-219.99551	3
-1355.8066	6399.359	331.7043	229.98318	-238.66042	-149.71527	3
-620.03235	4647.0444	197.96468	72.98679	-245.8187	-101.61941	3
-70.62986	3066.06	78.118004	-51.67187	-240.25162	-67.14687	3
417.1408	1922.2734	-12.637101	-109.46678	-238.00992	-43.39906	3
706.6802	1253.718	-137.79561	-113.03467	-233.22688	-30.864311	3
841.07153	808.6942	-323.394	-77.49999	-231.42923	-30.388487	3
911.28156	546.88983	-385.60764	-37.500916	-227.07765	-43.48791	3
961.2866	379.6001	-380.28796	4.085124	-223.23875	-54.39871	3
991.8836	327.7311	-336.98828	31.437597	-215.4609	-61.62773	3
1013.3634	237.78577	-272.37927	52.501694	-211.8432	-63.655403	3
990.97437	175.56554	-193.62227	63.44563	-207.24068	-73.077415	3
959.429	68.26377	-142.30441	69.69815	-203.09862	-73.97699	3
895.55853	10.284983	-18.784473	68.31142	-198.67505	-79.421265	3
827.3209	-67.651955	19.55533	68.25661	-195.26462	-76.93015	3
769.2713	-69.44569	32.161224	62.998505	-191.67961	-71.937935	3
740.27985	-91.98615	2.7151272	61.634624	-185.45883	-58.70215	3
723.5514	-88.848976	-36.491688	61.335	-178.48344	-48.999836	3
772.7349	-137.69278	-53.727062	62.02931	-169.51944	-35.426643	3
866.4343	-148.43402	-106.85869	64.473526	-158.21638	-22.802515	3
934.01526	-175.11855	-112.59821	64.020485	-142.28528	-7.392414	3
994.4436	-141.9058	-90.13863	58.39804	-126.04776	2.6516144	3
966.36835	-136.03531	-53.96339	51.670006	-107.20013	17.256062	3
951.8905	-94.37501	8.633721	41.536907	-88.24898	27.867847	3
944.59576	-125.444046	67.18433	33.089996	-70.29643	41.024193	3
934.04614	-167.95924	77.559875	21.996134	-51.285446	50.875114	3
938.6744	-191.97871	92.14842	14.074402	-34.539417	62.00208	3
933.75916	-207.55338	103.31441	9.555364	-18.378	75.25355	3
942.3493	-173.86447	74.78921	9.381036	-2.1341457	83.63762	3
935.6785	-137.01868	56.651123	8.747396	15.793715	95.913666	3
960.6035	-76.50943	-15.984391	7.6751246	33.506424	98.02824	3
1034.529	-81.57945	-11.832484	6.685157	53.13912	103.50774	3
1194.7023	51.92065	-58.141415	1.8502914	76.395386	90.054535	3
1336.9064	200.60907	42.684753	12.050973	94.65019	77.583206	3
1386.7985	1025.3835	119.09397	49.293327	120.33277	45.81637	3
1520.6975	2253.1865	672.22565	137.30385	119.78352	41.028595	3
1318.4933	4826.3696	146.05675	296.95337	116.04028	19.602318	3
239.453	7362.8164	-2645.5688	477.172	91.33411	70.61194	3
-1272.6652	9936.672	-3572.6125	482.8183	155.7155	35.481808	3
-3156.7832	12636.345	-2674.5593	245.22693	297.29742	125.908226	3
-3752.6157	10010.029	-1706.0479	-29.195683	343.70813	314.71817	3
-2551.8345	4995.111	-952.111	-248.03206	329.0354	263.01773	3
-1311.5902	2712.6035	-506.77838	-384.10852	285.75458	319.03177	3
-560.634	1819.4613	-318.2237	-352.8294	274.15762	426.15836	3
-328.03256	1215.9344	-516.8084	-248.63419	300.94415	460.10764	3
-428.47815	956.83453	-651.1966	-151.67928	326.28296	474.93774	3
-863.4487	1004.3051	-691.2514	-98.933815	338.75778	498.4184	3
-1333.8915	988.2753	-615.1339	-70.42897	357.70007	489.7413	3
-1720.067	765.8868	-613.0272	-68.3401	381.81644	466.03516	3
-2022.5007	380.77618	-618.2632	-73.30608	392.5969	438.41187	3
-2191.377	-92.63554	-593.73444	-66.01076	381.2986	410.03708	3
-2211.3762	-671.18567	-604.06616	-29.00224	362.5504	366.46692	3
-2086.6016	-1198.7003	-557.73645	21.692816	338.1518	319.28156	3
-1818.7809	-1588.2733	-427.17084	70.80379	299.81277	274.70428	3
-1493.054	-1652.586	-339.6971	98.17996	262.96487	218.80095	3
-1290.6923	-1684.499	-279.13947	96.07078	229.95718	157.83061	3
-1078.4363	-1875.6794	-344.0204	87.52058	199.37486	88.53356	3
-924.8718	-2057.4844	-312.2958	83.81771	163.07396	18.291716	3
-1147.0865	-2162.0444	-166.3698	106.148094	135.8061	-58.435223	3
-1465.2083	-2041.3982	-176.65987	133.78981	112.876976	-138.94395	3
-1725.1254	-1640.3339	-98.21592	158.06158	79.184906	-212.33363	3
-1874.6725	-1071.3422	-38.10256	143.90898	31.428064	-248.81966	3
-1918.0382	-525.4775	3.5234938	96.02617	-25.78733	-285.9022	3
-1864.2074	-157.96944	0.78231204	32.710026	-80.89039	-323.65005	3
-1779.4703	-59.63721	-96.59495	-14.114989	-125.496956	-372.89532	3
-1798.0627	-99.80823	-314.05936	-45.381336	-147.49686	-422.09097	3
-1929.6615	-197.24911	-476.3631	-47.36408	-149.48851	-466.93674	3
-2047.3951	-290.59296	-713.1142	-38.977848	-145.93488	-503.8489	3
-2119.3616	-208.59738	-757.0046	-11.423234	-141.71706	-561.7499	3
-2437.8135	331.65704	-398.37677	14.869365	-134.66818	-600.0436	3
-2986.69	1492.933	-478.6728	58.284916	-120.796814	-586.0505	3
-3992.8953	3253.9158	-448.6341	152.57227	-109.84782	-524.3269	3
-4637.296	4579.732	-278.93375	313.82776	-114.26095	-509.16592	3
-4354.8276	6045.3896	-108.583046	443.08722	-149.81667	-494.0316	3
-3998.2937	7777.381	-176.83662	471.4636	-185.93271	-361.7402	3
-3297.8235	8406.806	-167.1946	417.47205	-202.29272	-248.87929	3
-2038.411	7318.5835	138.08487	252.45888	-226.63425	-155.10596	3
-1051.498	5118.3945	234.28198	84.0952	-219.52151	-111.42736	3
-375.43613	3360.3423	156.49783	-30.89422	-196.51184	-90.92534	3
168.02701	2313.3445	96.84176	-88.29084	-182.089	-53.18225	3
431.56076	1787.641	28.936245	-89.467896	-175.45348	-23.754932	3
503.14032	1382.719	-51.203205	-55.194214	-177.61072	-14.135597	3
442.74945	1058.331	-120.246956	-30.729424	-175.26187	-14.549526	3
394.15555	892.64667	-170.96022	-14.692748	-173.31093	-19.932375	3
448.61905	714.1697	-148.85931	7.3887424	-173.36732	-36.685486	3
646.70087	532.81995	-163.7746	25.719995	-176.17575	-51.197414	3
879.52875	377.12985	-152.47754	43.853397	-178.70518	-65.98084	3
1023.892	272.6251	-103.648834	67.31372	-180.74608	-76.07757	3
1125.1198	209.47226	-97.53148	86.8153	-186.58296	-89.055435	3
1123.4946	152.4637	-90.56132	109.79463	-191.80635	-92.34183	3
1105.1116	128.08759	-21.490051	133.85033	-193.8389	-95.74946	3
1084.1824	162.10777	-59.648643	150.18785	-195.75346	-90.96694	3
1087.2285	185.68916	12.178803	158.92867	-189.56743	-87.22684	3
1080.3341	191.66261	33.54203	154.87585	-184.72728	-78.14516	3
1091.1831	198.16167	79.29607	139.90282	-173.33719	-71.23243	3
1118.5126	190.38034	60.61491	122.12355	-158.81679	-58.603355	3
1174.6985	142.27026	138.99632	103.51856	-143.06273	-46.48419	3
1271.0686	102.823074	142.88777	87.3991	-123.13413	-29.352747	3
1365.0472	48.88204	248.83821	67.975624	-97.99401	-14.271028	3
1421.1812	48.18288	303.36835	50.47317	-76.28428	0.67012215	3
1456.7361	87.144066	443.31235	29.582956	-50.218834	14.036374	3
1378.3931	135.337	561.4485	-1.0317651	-30.555344	27.271662	3
1252.2941	171.7423	656.34406	-42.297325	-15.097701	39.509182	3
1104.2963	153.74608	687.9762	-82.931305	-2.6445727	53.62389	3
1016.41156	120.32227	597.47656	-120.852776	2.1971045	67.65579	3
1007.6013	81.643906	475.19208	-152.42639	8.772953	78.36212	3
1032.7322	46.123116	157.57578	-167.79926	13.232938	87.240074	3
1077.4281	-0.7464839	-15.142672	-162.43118	25.702826	90.04452	3
1119.4745	81.6477	-180.5424	-128.04247	44.39689	96.33148	3
1246.7188	500.13293	-221.25607	-59.28793	68.0776	94.72108	3
1283.0431	1458.111	-43.05806	96.96694	81.98237	105.07597	3
1102.5743	3661.4792	-484.0914	308.1683	76.33364	129.16858	3
324.53488	6646.3604	-1773.9346	460.17657	64.595436	193.13506	3
-1222.2457	10149.184	-1995.3705	458.04138	132.62955	179.52745	3
-3864.9263	12501.35	-1922.5474	300.48282	271.1004	264.6055	3
-4930.9937	9595.101	-1574.9141	3.063729	326.89917	396.56042	3
-3771.5693	4929.7886	-1109.1248	-290.49393	272.0449	328.56586	3
-2441.2334	2491.3975	-636.17505	-412.26913	190.04332	333.51755	3
-1412.329	1378.1047	-216.6971	-382.3668	137.81854	403.26852	3
-896.02985	984.30975	-358.05634	-285.80667	152.67247	411.9067	3
-630.0539	770.412	-456.9719	-197.07115	192.37207	416.225	3
-720.2245	825.71906	-517.61523	-132.02426	221.982	426.50275	3
-900.83514	805.4382	-521.6288	-95.47041	246.85532	422.6078	3
-1159.1022	670.3634	-515.34436	-76.24522	270.03796	400.9005	3
-1282.4808	385.52225	-467.49924	-61.975506	284.07785	378.93146	3
-1348.858	106.37309	-433.56732	-50.890762	288.5974	354.67313	3
-1308.8734	-150.12889	-363.09048	-27.524458	286.0691	329.1235	3
-1215.2922	-298.28464	-277.70343	7.986141	279.91818	298.89587	3
-1080.2211	-413.49512	-221.74982	49.642273	276.54132	276.11957	3
-980.83704	-380.16428	-190.05075	80.61899	279.64783	251.83693	3
-954.403	-278.11563	-210.0578	102.89927	284.60532	230.48384	3
-1010.20874	-231.75256	-285.3613	100.94321	286.95117	207.48682	3
-1161.5015	-286.0265	-352.68008	79.25096	285.53342	178.56915	3
-1307.3055	-481.50894	-437.8455	58.76665	273.51956	145.5205	3
-1385.9861	-711.3746	-477.3773	38.048016	253.00865	106.696846	3
-1363.2982	-967.20856	-564.868	25.69518	223.77534	70.07759	3
-1338.0203	-1091.8469	-589.63715	19.936451	188.4711	33.13406	3
-1300.2483	-1112.7759	-669.8119	25.158173	154.92174	0.5307539	3
-1400.0763	-1092.6738	-686.0614	48.929085	129.8327	-37.45536	3
-1545.6102	-992.53424	-720.1586	76.34295	102.10323	-90.18839	3
-1693.3799	-837.2484	-582.7547	98.93097	70.31438	-153.7433	3
-1767.1064	-649.0276	-530.1168	113.651405	33.913025	-214.7651	3
-1829.6453	-468.34207	-286.8117	116.69311	-3.0132825	-271.3617	3
-1823.2991	-351.7082	-187.29709	117.55575	-45.85412	-318.23422	3
-1716.4767	-194.97955	-176.99298	111.95211	-84.6401	-368.79745	3
-1572.5795	-82.87314	-469.28268	124.455284	-116.02722	-413.75763	3
-1830.5702	287.14508	-180.91348	145.45508	-122.95058	-454.79642	3
-2244.2124	1107.0892	35.596043	151.90483	-123.259056	-489.45557	3
-2796.7126	2890.956	-475.29544	140.7724	-118.73632	-502.4247	3
-3382.3657	4045.195	-553.599	217.45987	-107.84849	-477.99203	3
-3378.5608	4148.0054	-328.642	294.8183	-129.60512	-509.96765	3
-3354.884	5172.959	486.0237	321.59018	-163.74156	-492.2334	3
-3522.237	6978.323	170.76181	449.5842	-155.83325	-342.53174	3
-3058.2834	8534.602	-29.940626	543.9117	-172.35161	-213.18211	3
-1746.8357	7752.1	337.31772	436.02142	-215.70605	-131.8215	3
-640.56903	4946.734	476.47626	198.62059	-218.08745	-96.710335	3
26.351381	2980.2996	414.25723	1.0122567	-206.34856	-71.97665	3
471.91986	1903.3673	293.05453	-93.51165	-192.9387	-37.033184	3
679.187	1248.5366	198.14659	-101.27108	-188.585	-4.606289	3
716.3448	912.5633	73.773346	-65.98516	-194.70009	2.7249925	3
611.03766	769.153	-11.605105	-25.692282	-199.57318	-2.7985914	3
513.2077	777.11127	-99.823	-1.032202	-196.44536	-8.326503	3
518.82904	688.7172	-98.13293	4.710987	-195.57318	-19.947254	3
642.5325	558.8294	-104.90702	0.3963331	-193.25296	-33.094112	3
799.3769	361.80692	-83.220764	-9.959555	-194.15565	-46.40521	3
924.32996	162.55212	-125.925545	-11.897565	-191.44046	-61.666065	3
996.97943	-41.856266	-99.41105	0.41461784	-189.2493	-70.73443	3
1019.1623	-168.4336	-79.503876	22.331032	-183.72992	-80.70097	3
987.9707	-257.79327	-71.94452	50.387444	-184.74246	-84.09762	3
941.75366	-276.21207	-88.89773	80.84448	-183.11246	-85.360985	3
914.2278	-276.13065	-105.987656	107.12473	-181.38245	-83.86503	3
918.48627	-195.84181	-105.29966	120.50175	-175.15565	-81.96045	3
960.494	-169.01158	-72.77512	126.3929	-168.5	-76.28234	3
981.6573	-104.2257	-48.769703	119.05754	-160.30418	-70.845184	3
998.87994	-149.39738	6.2570806	104.10247	-147.22484	-62.05996	3
1045.1293	-170.58351	26.782925	81.91382	-127.30008	-56.947647	3
1056.4409	-222.40837	55.72051	65.71014	-107.00574	-45.006466	3
1050.3319	-264.8228	93.44687	50.27884	-86.73175	-33.1585	3
1009.9515	-281.472	129.70155	44.12169	-61.963787	-14.958368	3
954.19446	-270.9619	155.59604	40.519386	-42.970516	3.467076	3
885.20056	-232.13922	200.16574	39.795536	-25.418491	20.31012	3
823.19244	-166.34315	209.4393	35.979725	-7.028124	32.464622	3
795.4659	-43.943806	197.67166	21.258041	6.462225	37.3451	3
852.79456	-2.5115592	178.16902	2.1304796	16.697697	36.17014	3
900.5204	51.145195	184.48772	-26.792969	32.72784	27.379145	3
1002.02563	62.82982	121.54835	-56.183956	47.770344	18.924673	3
1097.038	115.42218	57.999786	-77.76419	64.97029	2.9770067	3
1189.5447	321.80536	92.789894	-78.00724	79.806694	-11.262916	3
1259.0499	1413.0519	67.4643	-45.99605	98.92576	-23.034754	3
1136.119	3248.071	-40.762066	85.71647	113.85467	6.8120794	3
358.41837	5610.266	-709.3496	324.87396	101.141655	99.815094	3
-777.8705	6998.9404	-2935.2075	509.50095	54.457687	150.02193	3
-2830.245	10486.493	-4029.0122	443.08987	183.03548	79.186386	3
-5536.844	13597.969	-2367.0193	184.05397	313.16498	244.56035	3
-5066.2437	8907.044	-1265.9971	-150.85754	278.01486	337.45844	3
-3132.7786	3717.5332	-838.9209	-430.16428	207.90611	251.80637	3
-2105.4333	2141.252	-133.4323	-566.2982	135.38936	329.32745	3
-1355.3016	1142.0634	34.940533	-540.1478	124.0421	410.87753	3
-1178.0962	735.8509	-250.80203	-419.0042	142.19328	440.6334	3
-1172.2227	647.22363	-503.43936	-294.44116	167.79886	441.1607	3
-1387.8278	814.06335	-634.2156	-191.77737	195.16876	456.4547	3
-1629.5272	885.5555	-642.88824	-136.44789	232.45761	442.3131	3
-1861.9126	729.4774	-561.37506	-119.786514	258.36725	422.02512	3
-1981.3947	319.16415	-503.5494	-132.4755	275.94427	396.80087	3
-2009.4719	-104.120026	-442.24448	-130.75568	275.31223	377.58112	3
