A_X [mg]	A_Y [mg]	A_Z [mg]	G_X [dps]	G_Y [dps]	G_Z [dps]	LABEL
260.44287	942.94794	318.99387	6.251199	0.716117	0.40564668	1
263.97528	932.6012	300.7284	0.4987593	-1.2253431	1.7545836	1
259.95972	916.40497	302.91983	-1.3069773	-2.2583642	1.6620686	1
254.98582	897.55347	305.17685	-1.7900676	-1.8178036	0.97929704	1
277.01755	912.6827	330.4182	-2.10189	1.4415913	-0.27381724	1
268.9564	904.83246	306.52942	-0.8688876	0.16510843	1.4268968	1
259.50107	910.12933	295.5101	-1.4724777	0.6270145	0.2962977	1
267.2803	932.0314	309.02905	1.5708014	1.5361472	-0.01603805	1
259.085	911.7833	319.2527	-0.16863656	-1.6377531	-0.88551944	1
256.62408	906.0787	328.9065	-0.3375035	-0.32866544	-1.9501417	1
240.4541	919.7116	325.5988	-1.7524894	1.9330792	-2.997277	1
257.8872	932.66254	303.07135	-1.033575	-1.5867171	-2.5228703	1
266.70618	944.78485	335.3559	-3.9983509	-0.021229817	-0.8671666	1
271.48105	957.56824	341.85898	-10.297632	0.81983286	-2.287658	1
261.79117	955.5984	331.25574	-16.05506	3.6561754	-2.976085	1
247.11615	951.8653	305.08105	-21.120256	5.348845	-2.2050686	1
237.14313	909.8793	324.30698	-24.343634	3.2353642	-4.260798	1
234.0326	879.4697	347.0772	-28.083418	2.9302297	-3.4083648	1
240.57669	867.70856	358.61945	-19.24879	1.7862715	-2.5557551	1
240.73886	912.0468	359.42923	-8.469428	2.1355991	-0.030676423	1
240.46436	936.7104	348.55212	-3.2122931	0.8690529	0.6199255	1
248.96811	929.9259	339.38876	-3.853235	1.3313874	0.522595	1
231.83778	917.4297	331.6036	-3.2756689	0.3530813	1.5483648	1
244.01227	898.40027	352.45355	-3.235081	0.907205	2.737965	1
236.33994	880.2489	353.7011	-2.6310885	1.1941538	2.3125532	1
230.5359	865.4433	350.05875	2.7358582	0.2845614	1.5241238	1
233.7004	862.057	342.4315	6.3970137	-1.685246	1.8146331	1
233.66208	898.9209	342.54642	7.850889	-0.90162396	0.57158345	1
227.5551	936.94385	317.2718	11.533563	-0.56286806	0.6687798	1
212.82706	963.71674	307.90533	13.176962	0.21447091	-0.7105495	1
226.41348	980.71075	325.44986	7.737314	0.1169087	1.9876108	1
218.69408	978.10126	333.9655	2.3190362	-2.6960838	4.255238	1
232.84164	962.1475	345.03983	-2.5066042	-1.7243556	3.2368743	1
250.5574	971.0307	333.29782	-4.0861816	-6.0314827	4.255989	1
258.8946	955.3923	339.53116	-7.9373775	-6.814857	6.2532516	1
268.81058	956.24506	342.74777	-13.416999	-6.9809055	6.157468	1
274.45468	944.70526	374.24777	-14.037503	-9.506397	7.259467	1
264.2791	930.3466	346.59537	-15.641932	-9.1659975	6.5601563	1
265.52975	955.76526	351.09644	-15.515754	-8.83319	7.071353	1
262.0738	949.83307	356.64316	-15.39319	-7.2681913	9.069055	1
283.2099	942.70764	337.29495	-11.979355	-9.353372	9.634544	1
271.03107	933.81	340.5461	-8.340627	-7.793088	11.897193	1
275.8172	939.8596	353.70605	-4.798644	-5.3517566	13.141426	1
278.4401	930.0238	335.31378	-3.342829	-4.5569124	12.86368	1
300.6894	956.20123	299.93524	-6.9275327	-4.6839175	14.113202	1
