A_X [mg]	A_Y [mg]	A_Z [mg]	G_X [dps]	G_Y [dps]	G_Z [dps]	LABEL
-695.433	708.846	144.447	65.835144	-10.218015	-13.579844	2
-658.24194	715.8285	164.9255	65.04938	-9.155937	-10.226208	2
-647.4961	676.8162	164.22676	58.834602	-3.6944733	0.03441549	2
-637.0914	676.2964	175.16878	59.806713	-0.52402556	-1.6429424	2
-622.0471	668.54456	188.36124	51.744236	5.0046453	5.6726418	2
-632.71954	660.7678	184.68805	49.835896	5.6491957	2.5775146	2
-600.643	645.5557	198.9917	42.46745	8.0667925	10.351588	2
-586.7738	667.4018	218.44833	40.742424	10.543663	7.792474	2
-597.5152	680.1417	220.64148	33.392094	13.947417	14.591333	2
-604.2475	704.57495	205.34846	34.134647	13.228262	9.878413	2
-602.6118	701.84174	216.95784	21.380276	16.498152	13.366396	2
-599.8372	712.102	222.24843	17.56173	16.443108	10.006145	2
-611.6882	710.664	220.90697	7.468504	20.484715	15.599915	2
-618.78864	716.4832	249.89946	1.6437995	24.775074	11.831574	2
-645.7378	704.87006	245.98068	-7.641612	28.54369	16.30452	2
-657.82043	696.1796	249.94397	-16.282953	26.93368	11.319278	2
-670.7415	692.16437	297.27063	-26.177502	29.360704	13.232993	2
-699.76636	691.4063	329.95447	-30.239872	28.093843	9.788	2
-702.5794	682.1901	333.39044	-43.614243	30.151464	11.1134205	2
-719.693	654.61487	362.20844	-50.159428	28.149242	9.06118	2
-725.0348	606.10846	346.30203	-58.91277	29.288109	11.115528	2
-737.2922	588.13586	348.27542	-60.96436	27.588253	9.607675	2
-735.6827	587.3132	355.15967	-63.288113	25.411339	11.476888	2
-768.67175	539.1979	348.43756	-62.18088	25.7412	8.592693	2
-811.85443	531.03235	360.75375	-61.162388	27.051521	10.040136	2
-864.7418	533.27563	374.32074	-62.971096	30.332445	9.102356	2
-920.70074	511.2058	357.74307	-66.37368	31.409203	9.543902	2
-960.85004	512.2607	370.79053	-66.905655	33.7287	8.067356	2
-1001.03253	476.45477	411.55988	-69.999664	36.461166	4.0209074	2
-1044.2843	468.6333	385.73114	-72.291954	36.733276	1.7734996	2
-1105.2549	457.62643	415.45966	-69.39256	38.337536	-1.4487549	2
-1177.9647	425.37927	506.22107	-72.27158	38.095272	-4.328482	2
-1279.2594	395.39484	538.00165	-71.56859	34.220985	-10.784093	2
-1348.781	330.4343	530.51434	-69.15378	28.4678	-16.513266	2
-1375.3376	301.6728	520.3146	-61.647045	19.989182	-24.626055	2
-1389.272	257.10117	486.5743	-52.604397	10.803314	-29.877777	2
-1409.4545	210.17358	436.6451	-32.513054	2.2117524	-39.24519	2
-1420.4867	183.79707	375.96753	-14.666027	-1.8583752	-44.083607	2
-1440.2712	181.68082	319.1442	12.338906	-7.259077	-52.45367	2
-1443.5142	211.78133	285.96622	38.54659	-9.730907	-55.994293	2
-1447.865	247.13951	226.44019	59.43458	-14.621357	-63.223694	2
-1456.4215	251.55019	212.16956	75.023605	-14.643558	-65.896324	2
-1439.8024	240.81358	199.02443	83.733116	-21.03422	-71.94372	2
-1417.7621	240.4441	158.52405	91.43816	-25.885273	-72.85601	2
-1382.8372	211.55522	170.3981	96.00289	-29.0956	-75.43618	2
-1336.7317	193.16821	154.84772	100.09286	-35.152695	-74.25272	2
-1294.4617	176.17413	158.8634	102.654625	-42.29453	-73.044464	2
-1246.5084	143.38301	144.95087	105.2853	-44.354355	-68.09657	2
-1184.339	134.1591	140.44705	111.93441	-52.272976	-63.028324	2
-1152.2026	103.384	136.93913	110.35765	-55.436134	-60.577927	2
-1126.8477	66.996445	101.961754	111.37614	-56.475697	-56.89406	2
-1106.3102	53.57248	90.13134	110.669495	-60.585075	-54.184734	2
-1093.7358	80.70519	124.88298	112.94758	-56.651882	-53.817062	2
-1081.9001	103.55258	118.12719	112.92296	-54.819016	-54.06943	2
